Type,Fridge_Temperature_C,Humidity_Percentage,Spoilage_Days
Amaranth Leaves,5.063366701,85.17194692,1
Coriander Leaves,6.71952381,68.51985663,1
Potato,2.928120717,86.67577133,58
Grapes,2.675578511,65.39474221,15
Amaranth Leaves,3.741092649,68.22447336,3
Pumpkin,6.252044823,75.2392971,15
Okra,7.670195202,85.94781162,1
Bottle Gourd,4.294188757,87.05548684,10
Pineapple,4.429295531,86.1481146,10
Pumpkin,2.403198018,60.55746276,22
Bottle Gourd,3.643536779,75.41000922,13
Cabbage,2.94891125,65.22675373,22
Spinach,2.445229266,78.01714444,4
Spring Onion,7.539635931,71.7954513,1
Cucumber,4.662340434,81.80273072,10
Ridge Gourd,3.528874776,80.79178336,8
Drumstick,6.123111903,77.07904492,5
Pineapple,3.61410704,83.14177106,11
Spring Onion,7.456377836,50.44343873,1
Mango,4.520132589,79.65113273,3
Lettuce,4.66812324,75.06936398,2
Onion,2.367417085,66.21676244,32
Banana,2.821780744,61.85604133,8
Pineapple,3.183818257,80.36652707,13
Pomegranate,6.643894717,76.34229071,24
Sweet Potato,5.166007388,63.80682952,43
Coriander Leaves,2.488924235,79.73816951,3
Orange,7.382677574,79.95855296,22
Garlic,6.852894247,56.83214887,85
Brinjal,7.483695199,77.20854827,1
Pineapple,3.192440629,82.16493635,12
Bitter Gourd,4.012060479,56.56939286,6
Bitter Gourd,6.879380554,66.31271426,2
Okra,3.327295758,54.10872037,8
French Beans,3.662425021,88.04141656,3
Onion,3.389128315,80.55467097,28
Amaranth Leaves,2.44124505,77.21392112,3
Mint Leaves,2.185917108,86.86799057,2
Spring Onion,5.203944748,60.32950194,3
Papaya,3.655306596,56.92929543,7
Apple,6.70177495,55.92203885,25
Ash Gourd,2.104981574,64.30396299,32
Lemon,7.436997924,52.53942544,24
Carrot,2.747897338,63.03654927,22
Tomato,4.402410925,51.22263612,9
Onion,5.419997643,81.15697349,25
Mango,5.682253427,59.82308913,3
Amaranth Leaves,7.933234075,59.21677671,1
Mango,7.994280538,51.36071855,1
Snake Gourd,2.377541295,71.90225618,16
French Beans,6.334293293,59.03284638,3
Pomegranate,5.030925111,88.22590185,24
Bottle Gourd,3.80112724,60.91603574,14
Mango,2.18317854,78.96797009,6
Cabbage,4.559189579,74.03678565,19
Cluster Beans,5.854526583,75.52400023,3
Orange,6.508509085,68.13111405,26
Mint Leaves,4.080469747,83.73325876,1
Lettuce,3.283166227,56.58048282,6
Drumstick,4.038050828,79.41503975,8
Mango,3.443276073,61.0353696,6
Pear,6.918966644,75.17930934,4
Spinach,6.499703262,88.34508809,1
Pointed Gourd,6.28398321,79.84246505,8
Snake Gourd,4.785520376,58.04215914,12
Okra,4.262450532,86.65926342,3
Bitter Gourd,4.368925944,85.376458,3
Apple,4.52839612,68.77800963,29
Ridge Gourd,4.99070405,62.70175319,8
Mango,6.971144593,86.3434613,1
Ivy Gourd,4.021355573,56.81409723,13
Cucumber,2.547349752,72.32148846,15
Ginger,6.289490886,60.99956577,16
Ash Gourd,3.078704204,71.04491381,31
Bottle Gourd,7.972099799,55.70509209,8
Turnip,7.778501984,66.84816071,15
French Beans,5.756349165,79.45390592,2
Potato,3.982002826,62.54648724,60
Cauliflower,5.307887688,75.59030088,10
Spinach,7.665769118,76.73880721,1
Onion,7.026587437,72.81855306,24
Pumpkin,2.677097921,67.68245854,21
Turnip,6.10502911,66.46741008,17
Broccoli,5.64190173,88.93066054,3
Guava,7.343131679,53.92926009,4
Fenugreek Leaves,6.130759337,73.97023241,1
Radish,3.052013348,68.77507057,11
Sweet Potato,6.339648507,84.36829277,38
Mint Leaves,7.34394289,56.84451231,1
Ginger,4.514638682,52.98526171,19
Pumpkin,7.77200834,73.44555031,13
Pomegranate,4.574246558,52.36025125,29
Mango,4.131023699,74.68371429,4
Snake Gourd,4.818040996,65.22771379,12
Pointed Gourd,5.075913649,85.89824495,9
Mint Leaves,4.316787031,58.49918306,2
Mint Leaves,6.208674475,55.6823479,1
Lettuce,5.273127291,85.40850557,1
Pumpkin,4.049017278,65.4992923,19
Pineapple,3.996366814,55.91680506,14
Pumpkin,5.839658064,72.30524488,16
Brinjal,2.982702716,65.33254409,8
Pear,5.551044247,84.15913909,4
Jackfruit,6.877770588,59.34418717,2
Fenugreek Leaves,4.917623264,65.74445869,1
Green Chili,7.525134176,58.66162496,4
Snake Gourd,7.302822608,57.82554696,9
Amaranth Leaves,5.981877589,83.42214383,1
Onion,7.594618424,68.00801874,24
Brinjal,4.721493483,84.11146188,3
Jackfruit,4.927349966,53.51895381,5
Apple,3.945423599,53.12581303,30
Banana,6.590104624,63.4492716,3
Potato,3.376043499,86.60818685,57
Mango,7.818015541,54.58364546,1
Broccoli,7.654437493,89.67047714,1
Green Chili,6.554512776,77.18288825,4
Mint Leaves,2.276850929,68.73835932,5
Ridge Gourd,4.590723519,53.23833383,9
Onion,4.518982838,67.58044263,29
Pumpkin,5.540362116,56.68040492,17
Orange,5.723839559,70.72979948,27
French Beans,5.584756399,75.17954979,3
Ash Gourd,7.73051794,55.65433582,24
Tomato,7.059033235,61.32451708,5
Orange,7.028069977,75.20705507,24
Tomato,4.361569169,86.64745087,6
Tomato,5.675958567,69.20811073,7
Guava,2.034582306,56.3583289,12
Bottle Gourd,3.128318312,68.16268975,15
Fenugreek Leaves,2.250429793,62.05819005,5
Pineapple,3.46868578,61.59346495,14
Onion,5.283597496,77.12467359,26
Pointed Gourd,2.101435528,80.41047178,14
Guava,4.301509511,64.80632635,9
Ridge Gourd,3.163152527,60.18630602,11
Ivy Gourd,7.556191241,61.48347114,8
Green Chili,4.31499071,54.99304077,9
Radish,5.238122932,88.79935454,4
Radish,3.690347938,71.36716135,10
Cauliflower,2.241594998,81.65355562,14
Bitter Gourd,5.865159138,81.25106485,1
Ivy Gourd,3.521198037,67.75794941,14
Cucumber,5.201390003,67.5665671,12
Fenugreek Leaves,6.342613989,78.46457373,1
Garlic,4.073354287,86.75593862,86
Orange,6.111424742,84.60501482,23
Potato,2.072130561,65.43479027,62
Pointed Gourd,4.015128664,68.05528932,13
Beetroot,2.789677164,50.86940143,31
Tomato,3.822442724,82.29717916,7
Cauliflower,6.092402899,85.95312508,7
Apple,7.817525726,51.17019206,24
Bitter Gourd,4.468270935,55.57299616,6
Apple,7.00611999,54.80639031,25
Onion,2.963785849,52.87344214,31
Brinjal,3.75412349,63.74088326,7
Mango,5.225707625,52.66547384,4
Carrot,3.743774752,67.66768732,21
Snake Gourd,5.067548874,85.91569309,9
Potato,6.028344303,65.170273,56
Orange,5.834066406,67.1136522,27
Ash Gourd,7.443011247,57.10413454,24
Garlic,6.923855441,63.8156258,85
Ridge Gourd,2.00346672,80.50480857,10
Orange,3.235050367,54.66406674,31
Sweet Potato,2.672006021,54.45900811,46
Cauliflower,3.183037221,65.07481589,15
Ginger,4.43101043,60.83910631,19
Drumstick,5.523314679,76.52280113,6
Apple,2.787039957,60.43990732,31
Onion,3.2947249,54.85256441,31
Ash Gourd,4.41940414,74.03895669,28
Amaranth Leaves,7.952751599,88.06515478,1
Sweet Potato,6.676844597,88.94606797,37
Carrot,6.459282349,84.62053734,14
Ginger,7.316401395,52.76587737,15
Beetroot,6.692973781,63.00937351,25
Cauliflower,7.894172241,73.93745073,7
Spring Onion,5.437752049,55.73608837,2
Ivy Gourd,7.713252023,58.24657396,8
Carrot,2.645281347,68.35589189,23
Bottle Gourd,3.707372769,81.62615896,12
Ash Gourd,2.228882465,73.64398267,31
Drumstick,3.340241794,60.97861007,10
Beetroot,5.136837282,86.70894906,24
Lettuce,6.05938457,80.82249901,1
Garlic,2.71676347,50.47512063,91
Ash Gourd,6.844106761,82.67055672,23
Apple,2.936228525,80.60137872,29
Coriander Leaves,4.462665798,69.30748319,2
French Beans,4.235526548,72.23648264,6
Potato,4.515516928,87.99691412,55
Bottle Gourd,2.171495041,65.38640212,16
Garlic,7.889301829,68.45578242,84
Cabbage,5.990381521,70.6740907,17
Fenugreek Leaves,2.381739317,60.60824338,5
Mint Leaves,3.582567739,55.42760095,3
Garlic,2.889129251,85.71831829,88
Drumstick,5.020689897,79.82457355,6
Pineapple,4.545104997,64.56575551,13
Spring Onion,5.686538465,85.73880145,1
Beetroot,3.969917976,74.37760221,29
Chikoo,3.139212131,83.32075839,5
Potato,6.11015483,82.91574033,54
Okra,6.534458066,67.11098784,3
Guava,2.082217609,88.15142078,9
Lemon,5.125514637,50.56375778,28
Bottle Gourd,2.403675528,56.20943197,16
Pointed Gourd,6.235717477,81.0477647,8
Spring Onion,6.267299245,60.06503526,1
Capsicum,6.6565673,78.75678756,4
Carrot,7.48547809,85.86964002,12
Sweet Potato,5.784054899,67.72132876,42
Papaya,2.67901,50.36754976,8
Ivy Gourd,6.185098951,54.26034008,10
Garlic,3.913618255,69.54040303,90
Banana,5.035533968,76.97459079,4
Onion,2.734124914,82.158192,29
Bottle Gourd,4.738222491,59.98017552,12
Amaranth Leaves,4.358012474,72.73510877,1
Snake Gourd,2.731464888,51.42664039,15
Jackfruit,4.550546115,76.4956701,4
Apple,2.434432096,64.07076515,32
Turnip,4.276185181,68.86954429,20
Spinach,6.930085425,50.09582694,1
Beetroot,6.942084778,78.87034961,23
Pomegranate,3.280793109,66.69420618,31
Cabbage,5.921647704,73.79208085,17
Apple,3.939983077,63.47617491,30
Ginger,3.942632205,61.37653352,20
Mint Leaves,3.903334374,66.8104293,3
Pineapple,7.373362152,77.61190796,7
Cabbage,2.657491035,79.43322028,21
Lemon,3.81482212,56.07225308,30
French Beans,3.37973575,50.70026209,7
Jackfruit,5.130862278,77.36047976,3
Ginger,4.217386029,68.91809034,19
Pumpkin,5.069654985,60.01557934,18
Coriander Leaves,3.022373802,79.06965057,2
Cabbage,6.61976149,87.5178314,13
Ivy Gourd,6.638303342,61.40739644,10
Potato,2.676916288,67.99975058,61
Ash Gourd,2.546899315,82.2925127,29
Bitter Gourd,5.35636021,80.02898844,2
Broccoli,3.123796949,82.18419841,8
Garlic,5.686739616,84.58286244,84
Pumpkin,3.623657351,69.91858841,20
Fenugreek Leaves,2.882699372,75.93538612,3
Green Chili,6.536303617,79.98499032,4
Banana,6.40025855,74.47323828,2
Cluster Beans,4.521469707,75.88685463,5
Chikoo,3.490246122,81.73796683,5
Capsicum,6.146911304,74.55240868,5
Lettuce,4.149053689,76.15124125,3
Sweet Potato,3.730741445,50.05604077,45
Carrot,3.78459349,51.44057715,21
Ivy Gourd,6.387882756,60.13473564,10
Onion,7.61411658,64.15318919,24
Jackfruit,5.277512478,82.78132948,2
Garlic,7.459965842,64.35270356,84
Sweet Potato,6.773942019,74.70616476,39
Pineapple,3.879010246,60.06248776,14
Orange,2.044327657,59.7741098,32
Cauliflower,2.695163606,51.55774452,15
Okra,5.917851048,87.22518684,1
Taro Root,4.884985209,67.42221526,28
Guava,5.912114553,70.53603481,7
Cucumber,4.039789521,68.20681801,13
Ash Gourd,4.663175099,68.99167769,29
Sweet Potato,4.760272932,65.6816918,43
Amaranth Leaves,3.400790098,74.47191563,3
Banana,3.12173423,61.4235476,8
Mint Leaves,4.035016687,81.70017773,1
Cucumber,6.514328824,51.02602568,10
Cucumber,2.773676736,68.27015807,15
Amaranth Leaves,4.611665071,76.24872697,1
Ridge Gourd,4.02246006,59.84464263,9
Lettuce,2.946880045,63.93885192,6
Pear,6.475026735,51.66206647,6
Brinjal,6.54390874,76.46065155,1
Apple,5.548458079,59.62368375,27
Pumpkin,5.55606885,62.4510638,17
Pumpkin,7.377742864,65.31148481,14
Ridge Gourd,3.224021837,70.71957392,11
Pointed Gourd,2.660970603,55.29752912,16
Amaranth Leaves,7.210239756,83.18658338,1
Beetroot,6.51658472,62.58598701,26
Spinach,3.048155642,84.54138971,2
Tomato,6.464502325,79.75816819,4
Orange,5.779506139,53.06362699,27
Cluster Beans,6.074010523,57.88411059,3
Green Chili,7.948046495,53.52734867,4
Papaya,7.81115313,71.69795131,1
Cauliflower,7.337102343,83.37801475,6
Spring Onion,4.743700755,79.27992572,2
Grapes,2.425566805,64.95480955,16
Cluster Beans,7.212335754,69.62668841,2
Spinach,7.187413061,53.81080405,1
Radish,6.651851138,70.11024715,6
Pumpkin,5.448010945,56.30414646,17
Onion,5.494198702,59.26784522,27
Papaya,6.361696739,64.40234219,3
Chikoo,7.484721235,77.38258209,1
Ash Gourd,4.427928237,76.9926899,27
Orange,4.538849226,56.89865169,29
Apple,2.171115395,68.85987475,32
Pineapple,2.073118358,85.57509409,13
Pointed Gourd,5.148719884,55.89151864,12
Ivy Gourd,7.432337799,82.23561821,6
Turnip,3.800153774,78.37036619,19
Pumpkin,7.921072634,82.91083057,11
Lettuce,2.181321005,72.85141243,7
Bottle Gourd,7.816756713,84.76412366,5
Cucumber,2.724698194,54.89836546,15
Okra,7.91081668,77.15177279,1
Lettuce,7.984249485,74.98242071,1
Onion,3.851647488,84.83615522,27
Onion,7.155197365,85.85219047,22
Spinach,3.525551829,77.25946176,3
Bottle Gourd,5.393104477,84.17354754,9
Mint Leaves,4.644275061,59.30280195,2
Green Chili,5.372175769,61.70506656,7
Chikoo,2.768522315,71.24935769,8
Banana,3.590548579,83.85782803,4
Ivy Gourd,6.579874603,53.83747062,10
Guava,7.026836192,64.25989795,5
Spring Onion,3.593284984,55.04628051,5
Cauliflower,7.133674328,81.17659779,7
Brinjal,5.022592045,60.34151302,5
Turnip,6.67327011,66.62256418,16
Potato,4.396992568,89.4680133,55
Coriander Leaves,6.183693748,59.21531372,1
Lemon,6.308688755,56.9905005,26
Pointed Gourd,3.52273283,72.90516777,14
Onion,6.098227492,80.43645852,24
Mango,6.460222331,61.7778394,2
Ivy Gourd,6.748573795,56.84362955,9
Amaranth Leaves,5.443572223,50.86845679,1
Brinjal,6.991247005,52.18511455,2
Carrot,2.646008396,82.23101472,20
Capsicum,3.436525122,65.12518184,10
Cucumber,3.469935492,60.27036917,14
Pointed Gourd,5.972294788,87.8912112,7
Mango,7.259768083,56.22200007,1
Grapes,2.280631239,82.83374648,14
Papaya,7.165208137,89.4705939,1
Grapes,2.97903445,87.4194682,12
Cabbage,6.924317952,75.01445682,15
Jackfruit,6.78230415,70.5951531,2
Lettuce,3.820294439,61.25842209,5
Grapes,3.532283337,73.09889846,14
Spring Onion,5.77037147,63.21854425,2
Pineapple,3.804021828,51.1546118,14
Garlic,5.408447126,68.01119654,87
Pineapple,2.907184665,58.82330021,15
Orange,7.10200391,51.91926023,25
Carrot,4.980363045,68.4595702,19
Snake Gourd,6.706991687,74.78904547,8
Mint Leaves,5.095235559,50.69384915,1
Ash Gourd,3.735508573,86.99940462,26
Capsicum,5.606773283,82.66871148,5
Cauliflower,3.923732078,61.00063058,14
Bitter Gourd,6.031277535,81.04448424,1
Onion,7.037572113,61.13103389,25
Sweet Potato,7.914156034,88.42879648,35
Sweet Potato,5.541425575,81.8740432,40
Bitter Gourd,5.225001243,77.85696326,3
Cluster Beans,4.627458235,80.15213317,4
Brinjal,6.428783327,84.7015012,1
French Beans,2.157422522,84.7188444,6
Broccoli,7.875472738,62.2415418,4
Pomegranate,2.319840821,60.50627048,32
Fenugreek Leaves,2.880797757,58.78644762,4
Lemon,2.011292304,71.27560517,32
Ivy Gourd,5.642676975,72.80765176,10
Cucumber,4.043289821,87.49177527,10
Bottle Gourd,6.619363855,69.92012415,10
Ivy Gourd,7.500835972,56.7272701,8
Pear,5.36328012,80.89066857,5
Green Chili,5.185530775,73.4114505,7
Potato,4.515879912,84.69029613,56
Spinach,6.091048943,69.29308331,1
Fenugreek Leaves,4.25764342,84.30957634,1
Drumstick,5.272750147,62.54609572,8
Pineapple,6.249137103,80.56520147,8
Onion,5.307041594,51.41586566,28
Brinjal,2.343626485,63.47830261,9
Mango,2.899339293,75.8225666,6
Ginger,7.406637604,59.72329833,14
Lemon,7.760375142,52.32108228,24
Cauliflower,7.368363369,62.53122113,8
Snake Gourd,7.222974647,79.71771939,7
Fenugreek Leaves,5.444881062,56.04813009,1
Orange,5.664976194,83.88115296,24
Beetroot,2.565900122,81.20742727,29
Pointed Gourd,4.267234138,65.82376068,13
Turnip,4.29880764,88.79487981,16
Orange,5.824489395,77.43694055,25
Tomato,3.747124028,88.72958336,6
Turnip,5.980684433,70.05692749,18
Bitter Gourd,3.798087955,89.20043321,3
Ginger,4.292898149,50.79214376,19
Cabbage,6.495549307,72.03643635,16
Okra,7.131691833,78.92676551,1
Cluster Beans,5.575520007,51.59074543,4
Pumpkin,6.858497893,64.75237155,15
Mango,3.099618002,86.86415419,3
Turnip,2.016465695,55.73721753,23
Pear,7.046962748,78.69052954,3
Garlic,7.818772577,72.06180024,83
Broccoli,2.805637717,59.52603595,11
Turnip,3.76666114,61.26413631,21
Cluster Beans,7.428582121,79.59195237,1
Okra,4.869242421,53.98864938,5
Snake Gourd,5.547780394,55.31091638,11
Carrot,3.559381028,58.28162739,21
Beetroot,4.682758193,67.30570012,28
Radish,6.818148459,64.4135198,5
Guava,7.904752315,87.59729183,1
Bottle Gourd,2.86035195,81.36501887,13
Pumpkin,7.41876769,83.01337183,12
Bottle Gourd,2.86551067,55.4137837,15
Green Chili,5.841990806,54.73113013,7
Pointed Gourd,5.106668541,50.02421877,12
Cauliflower,2.907975163,63.14362564,15
Lettuce,3.503833371,74.45386434,4
Cabbage,5.584699703,73.85152949,17
Ridge Gourd,4.639684244,66.50177022,9
Chikoo,3.914523066,54.70712429,7
Grapes,3.346855415,60.58518352,14
Spring Onion,5.089965328,65.51714081,3
Capsicum,6.594089621,89.92728518,2
Carrot,2.709561494,86.45104142,19
Pointed Gourd,3.893564522,67.38922887,14
Mint Leaves,6.921542516,81.73800108,1
Jackfruit,5.200317449,54.00098023,5
Mango,4.400012398,78.5477062,3
Bitter Gourd,7.378118967,72.5407674,1
Grapes,4.378530502,84.75823733,10
Tomato,2.187533561,62.83115861,12
Capsicum,4.917365513,56.58995939,8
Radish,4.584872604,74.75507467,8
Radish,7.732414073,53.24170581,4
Bottle Gourd,2.703152828,81.13090089,13
Amaranth Leaves,2.082824269,68.63394486,5
Bitter Gourd,5.831522912,53.73570092,4
French Beans,5.269848671,88.73187633,1
Ridge Gourd,2.740981639,56.03606574,11
Apple,7.545709856,87.57292728,21
Amaranth Leaves,4.674263563,61.14623229,1
Mango,2.73176787,89.11949444,4
Pomegranate,5.027803238,79.3492689,26
Pumpkin,4.745629765,55.57943516,18
Spinach,6.015215937,68.24206672,1
Pomegranate,2.985840724,52.12490462,31
Pomegranate,3.035058751,62.71448614,31
Cucumber,3.17909279,62.10914506,15
Ridge Gourd,3.323153222,60.82915373,11
Beetroot,3.247780064,54.50793097,31
Carrot,7.784128175,65.55803285,15
Apple,7.797357647,55.57507274,24
Mango,7.044784759,52.88026669,1
Orange,4.038963393,71.72594959,29
Turnip,2.464135519,81.13976264,21
Taro Root,7.391003845,75.09458566,23
Pointed Gourd,2.317276795,83.11396531,13
Broccoli,3.51196022,60.43399735,10
Capsicum,6.575677868,63.9233343,6
Beetroot,3.924352489,76.29072192,28
Chikoo,5.96302956,77.56616729,2
Fenugreek Leaves,2.453523851,71.51870979,5
Ash Gourd,3.613711664,80.34108478,28
Chikoo,2.078670126,80.17348018,7
Radish,6.674151425,79.68844294,4
Mint Leaves,7.295157607,77.3851368,1
Ginger,4.749815,66.23535376,18
Fenugreek Leaves,2.425042224,52.18014742,5
Mango,6.399787709,78.59639881,1
Cucumber,2.904042656,87.47114668,12
Fenugreek Leaves,3.928537487,61.25684713,3
Pineapple,5.11201123,74.43575054,11
Cauliflower,6.447114445,74.51337221,9
Broccoli,6.007913939,78.32677983,5
Guava,7.289234612,71.72086593,4
French Beans,7.352030026,84.38602812,1
Mint Leaves,4.978554247,81.68861213,1
Lettuce,6.193886305,85.30100326,1
Drumstick,2.751217595,71.07892055,11
Carrot,5.384913664,89.86865239,14
Ivy Gourd,7.231975483,74.40493048,8
Cauliflower,3.931150587,63.898449,14
Papaya,7.605140198,67.53796244,1
Radish,4.620322193,70.01214527,9
Taro Root,3.737337989,62.30726018,30
Grapes,5.910863036,52.75900045,11
Ginger,6.921787125,72.5383767,15
Banana,5.677257683,89.18863404,1
Spinach,6.863499467,62.00386651,1
Grapes,7.850870791,62.9327557,8
Beetroot,3.381177252,59.94905642,30
Pomegranate,2.136771921,58.65421384,32
Turnip,3.830514819,53.94617575,21
Ridge Gourd,4.823457242,70.45417161,8
Sweet Potato,7.517429824,63.81323054,39
Lettuce,5.231284406,61.78103221,3
Brinjal,5.856824825,85.04670509,1
Green Chili,5.901848695,60.35478533,7
Mint Leaves,3.621492611,54.90678248,3
Bitter Gourd,4.475168174,66.32383971,6
Chikoo,7.618489586,55.20481093,1
French Beans,4.274641821,63.00168991,6
Ivy Gourd,5.61976069,83.52584234,8
Pointed Gourd,7.886994782,89.84786253,4
Pineapple,7.019996861,51.32450355,9
Brinjal,6.396000364,60.86027078,3
Apple,6.96729919,88.47998733,21
Brinjal,6.760326932,87.57536793,1
Taro Root,3.36766734,75.23848928,29
Drumstick,4.928031184,58.1803212,8
Coriander Leaves,2.944318515,51.62808755,4
Snake Gourd,3.436938416,54.41108028,14
Turnip,6.553725821,65.82551218,17
Ginger,2.635643231,69.94793336,22
Sweet Potato,7.701538424,58.66364097,39
Amaranth Leaves,2.104072012,88.50456738,2
Orange,4.707686397,62.21540355,28
Potato,3.446360447,51.77583798,60
Lemon,2.894892388,61.27689325,31
Turnip,5.188910289,77.18622694,17
Sweet Potato,7.632932261,70.59043332,39
Radish,7.904345993,77.51160975,2
Broccoli,6.709419781,69.00745976,5
Onion,6.922190329,64.87067962,25
Cabbage,2.012241493,64.04426918,23
Capsicum,4.887990269,75.83018625,7
Orange,7.184921274,71.66033453,24
Grapes,6.578948956,51.00314327,10
Spinach,2.23205847,78.1512662,5
Grapes,5.876504873,86.02985839,7
Brinjal,3.226981325,74.23691907,7
Chikoo,2.272055959,53.90396936,9
Chikoo,7.609158841,72.38412569,1
Bottle Gourd,2.991893179,72.32612959,15
Amaranth Leaves,4.000853396,82.422525,1
Green Chili,4.422445717,87.27230621,5
Ash Gourd,4.398715727,54.95990704,29
Apple,4.602378548,58.13613309,29
Cauliflower,7.330545677,50.30059684,9
Broccoli,6.283753391,79.95580336,4
Turnip,6.527658343,89.14002117,13
Lemon,2.433060625,58.71603259,32
Taro Root,5.935723015,51.97250074,27
Fenugreek Leaves,5.10833122,76.77911221,1
Beetroot,5.365395309,51.64513856,27
Ridge Gourd,3.364583611,70.17603591,10
Spinach,3.076025731,88.54652938,1
Ridge Gourd,4.819788266,58.89857258,8
Amaranth Leaves,5.892816735,64.44922706,1
Taro Root,2.389837218,89.19569936,28
Broccoli,6.922516099,70.21377821,5
Apple,7.093936305,81.50649932,23
Drumstick,7.404527593,69.81149502,4
Sweet Potato,7.258884429,51.67716833,40
Ridge Gourd,7.49482871,62.10667083,4
Coriander Leaves,5.756398872,65.12145809,1
Taro Root,4.089313367,60.11887045,29
French Beans,4.434677648,52.91458392,6
Cabbage,7.100325715,69.28816656,16
Green Chili,2.71639574,67.79610114,11
Lettuce,2.643978877,51.82752939,7
Papaya,5.117839843,62.92033881,5
Fenugreek Leaves,6.330700885,89.91467447,1
Mango,3.656387398,79.98258319,4
Jackfruit,6.838921596,67.72941625,2
Spinach,3.069614764,70.38353289,5
Carrot,2.89717125,71.92159111,22
Cauliflower,6.332579416,57.04261702,10
Sweet Potato,7.170957996,51.41364164,40
Papaya,3.984394738,51.73045089,7
Papaya,7.163742584,64.01901244,2
